Facility Name,CMS Certification Number,Alternate CCN 1,Alternate CCN 2,Alternate CCN 3,Address 1,Address 2,City,State,Zip Code,Network,Hemoglobin 12 g/dL Measure Score,Hemoglobin 12 g/dL Performance Period Rate,Number of Hemoglobin Eligible Patients Performance Period,Hemoglobin 12 g/dL Baseline Period Rate,Number of Hemoglobin Eligible Patients Baseline Period,Hemoglobin 12 g/dL Performance Score Applied,URR Measure Score,URR Performance Period Rate,Number of URR Eligible Patients Performance Period,URR Baseline Period Rate,Number of URR Eligible Patients Baseline Period,URR Performance Score Applied,Fistula Measure Score,Fistula Performance Period Rate,Number of Fistula Patient Months Performance Period,Fistula Baseline Period Rate,Number of Fistula Patient Months Baseline Period,Fistula Performance Score Applied,Catheter Measure Score,Catheter Performance Period Rate,Number of Catheter Patient Months Performance Period,Catheter Baseline Period Rate,Number of Catheter Patient Months Baseline Period,Catheter Performance Score Applied,Vascular Access Combined Measure Score,ICH CAHPS Admin Score,NHSN Event Reporting Score,Mineral Metabolism Reporting Score,Total Performance Score,PY2014 Payment Reduction Percentage,CMS Certification Date,"Ownership as of December 31, 2012",Date of ownership record update
UNION COUNTY DIALYSIS,112680,,,,72 APPALACHIAN AVENUE,,BLAIRSVILLE,GA,30512,6,10,0%,30,0%,39,Achievement,5,97%,34,97%,38,Achievement,8,70%,363,59%,427,Achievement,7,11%,332,13%,305,Achievement,8%,10,10,10,79%,No reduction,04/24/2000,INDEPENDENT,01/06/2007
CUMMING DIALYSIS,112681,,,,911 MARKET PLACE BOULEVARD,SUITE 3,CUMMING,GA,30041,6,10,0%,36,2%,48,Achievement,10,100%,37,92%,48,Achievement,10,87%,429,71%,556,Achievement,10,3%,404,7%,378,Achievement,10%,10,10,10,100%,No reduction,06/15/2000,DAVITA,01/16/2007
PERRY DIALYSIS CENTER,112683,,,,1027 KEITH DRIVE,D/B/A PERRY DIALYSIS CENTER,PERRY,GA,31069,6,10,0%,35,3%,30,Achievement,5,97%,35,97%,31,Achievement,4,56%,398,51%,367,Achievement,3,20%,370,29%,258,Improvement,4%,10,10,10,67%,No reduction,08/04/2000,DAVITA,09/06/2001
US RENAL CARE MURRAY COUNTY DIALYSIS,112685,,,,108 HOSPITAL DRIVE,,CHATSWORTH,GA,30705,6,10,0%,32,6%,35,Achievement,10,100%,31,97%,35,Achievement,10,74%,363,78%,394,Achievement,9,6%,349,6%,280,Achievement,10%,10,10,10,100%,No reduction,09/13/2000,INDEPENDENT,12/02/2010
US RENAL CARE OF SOUTH GEORGIA,112688,,,,3564 NORTH CROSSING CIRCLE,,VALDOSTA,GA,31602,6,10,0%,74,16%,76,Achievement,2,95%,75,97%,75,Achievement,9,71%,871,71%,882,Achievement,6,13%,826,11%,626,Achievement,8%,10,10,10,70%,No reduction,11/21/2000,OTHER CHAIN(number of facilities <20 ),06/04/2010
DAVITA NEWNAN DIALYSIS,112689,,,,242 BULLSBORO DRIVE,,NEWNAN,GA,30263,6,10,0%,41,0%,44,Achievement,10,100%,41,95%,44,Achievement,4,57%,461,52%,454,Achievement,10,1%,440,4%,321,Achievement,7%,10,10,10,91%,No reduction,11/29/2000,DAVITA,10/02/2003
DSI CARTERSVILLE RENAL CENTER,112691,,,,203 SOUTH TENNESSEE STREET,,CARTERSVILLE,GA,30120,6,10,0%,44,3%,40,Achievement,7,98%,45,100%,37,Achievement,6,63%,500,53%,412,Achievement,10,4%,472,5%,292,Achievement,8%,10,10,10,85%,No reduction,03/28/2001,DAVITA,01/11/2007
FOREST PARK DIALYSIS CENTER,112692,,,,380 FOREST PARKWAY,,FOREST PARK,GA,30297,6,10,0%,62,3%,58,Achievement,10,100%,63,95%,58,Achievement,9,72%,677,69%,597,Achievement,10,2%,636,4%,408,Achievement,10%,10,10,0,97%,No reduction,05/11/2001,DAVITA,01/09/2007
GAINESVILLE DIALYSIS,112693,,,,2545 FLINTRIDGE ROAD,STE 130,GAINESVILLE,GA,30501,6,8,2%,43,5%,39,Achievement,7,97%,36,88%,32,Improvement,6,64%,457,50%,405,Achievement,7,10%,414,11%,287,Achievement,7%,10,10,10,76%,No reduction,05/09/2001,DAVITA,01/26/2007
RENAL CARE GROUP DOUGLAS COUNTY,112694,,,,4645 TIMBER RIDGE ROAD,BLDG 200 SUITE 140,DOUGLASVILLE,GA,30135,6,10,0%,32,14%,36,Achievement,1,94%,35,100%,33,Achievement,7,65%,411,58%,352,Achievement,3,18%,358,22%,242,Achievement,5%,10,10,10,58%,No reduction,05/23/2001,RENAL CARE GROUP INC.,06/14/2008
COMPREHENSIVE RENAL CARE OF NORTHLAKE LLC,112695,,,,1350 MONTREAL ROAD,SUITE 200,TUCKER,GA,30084,6,10,0%,47,2%,53,Achievement,10,100%,53,100%,48,Achievement,2,51%,579,56%,576,Achievement,9,6%,546,13%,397,Achievement,6%,10,10,10,88%,No reduction,07/12/2001,DAVITA,01/03/2007
SPALDING COUNTY DIALYSIS,112696,,,,1570 WILLIAMSON ROAD,,GRIFFIN,GA,30224,6,7,3%,37,0%,35,Achievement,5,97%,39,100%,36,Achievement,9,72%,444,74%,398,Achievement,10,3%,417,3%,286,Achievement,10%,0,10,10,73%,No reduction,10/03/2001,INDEPENDENT,01/13/2007
"DIALYSIS NEWCO, INC.",112697,,,,2500 SECOND STREET,,MACON,GA,31206,6,10,0%,28,8%,36,Achievement,5,96%,27,92%,36,Improvement,5,59%,331,57%,388,Achievement,7,10%,311,24%,280,Achievement,6%,10,10,10,73%,No reduction,10/04/2001,DIVERSIFIED SPECIALTY INSTITUTES (DSI),01/13/2007
"US RENAL CARE FITZGERALD DIALYSIS, LLC",112698,,,,402 SOUTH GRANT STREET,,FITZGERALD,GA,31750,6,10,0%,34,3%,35,Achievement,10,100%,35,100%,33,Achievement,2,50%,399,54%,407,Achievement,3,19%,398,17%,287,Achievement,3%,10,10,10,79%,No reduction,10/04/2001,OTHER CHAIN(number of facilities <20 ),06/04/2010
US RENAL CARE OF CENTRAL VALDOSTA,112699,,,,506 NORTH PATTERSON STREET,,VALDOSTA,GA,31601,6,10,0%,57,11%,66,Achievement,0,92%,60,94%,65,Achievement,7,65%,725,65%,697,Achievement,3,19%,703,22%,486,Achievement,5%,10,10,10,55%,No reduction,10/04/2001,OTHER CHAIN(number of facilities <20 ),06/04/2010
DSI WOODSTOCK RENAL CENTER,112700,,,,2001 PROFESSIONAL PARKWAY,SUITE 100,WOODSTOCK,GA,30188,6,10,0%,25,4%,24,Achievement,10,100%,21,92%,25,Achievement,8,70%,251,73%,262,Achievement,9,7%,216,6%,181,Achievement,9%,10,10,10,97%,No reduction,10/04/2001,INDEPENDENT,07/02/2002
TRINITY DIALYSIS CLINIC,112702,,,,1354 CLEVELAND AVENUE,,EAST POINT,GA,30344,6,10,0%,64,11%,66,Achievement,10,100%,66,97%,64,Achievement,4,56%,754,47%,753,Achievement,10,1%,727,14%,531,Achievement,7%,0,10,10,88%,No reduction,09/26/2001,INDEPENDENT,01/26/2007
ATLANTA MIDTOWN DIALYSIS,112703,,,,418 DECATUR STREET SOUTHEAST,SUITE A,ATLANTA,GA,30312,6,N/A,,7,2%,42,N/A,N/A,,0,,0,N/A,N/A,Insufficient data,0,55%,344,N/A,N/A,Insufficient data,0,16%,237,N/A,N/A,N/A,N/A,10,100%,No reduction,11/07/2001,DAVITA,07/22/2011
DCI ALBANY WEST TOWN,112704,,,,1921 WEST OAKRIDGE DRIVE,,ALBANY,GA,31707,6,10,0%,89,5%,100,Achievement,7,98%,92,97%,99,Achievement,2,50%,1050,49%,1151,Achievement,10,3%,1013,4%,833,Achievement,6%,10,10,10,79%,No reduction,11/15/2001,"DIALYSIS CLINIC, INC.",01/13/2007
RENAL CARE GROUP STONE MOUNTAIN,112705,,,,5723 MEMORIAL DRIVE,,STONE MOUNTAIN,GA,30083,6,8,2%,48,8%,61,Achievement,7,98%,53,98%,52,Achievement,3,54%,540,52%,588,Achievement,7,10%,524,9%,384,Achievement,5%,10,10,10,70%,No reduction,12/07/2001,RENAL CARE GROUP INC.,04/03/2011
SWEETWATER DIALYSIS,112706,,,,7117 SOUTH SWEETWATER ROAD,,LITHIA SPRINGS,GA,30122,6,10,0%,56,0%,64,Achievement,10,100%,56,95%,60,Achievement,5,61%,592,67%,626,Achievement,7,11%,551,14%,429,Achievement,6%,10,10,10,88%,No reduction,12/21/2001,DAVITA,06/14/2008
US RENAL CARE HAWKINSVILLE,112707,,,,292 INDUSTRIAL BLD SUITE 100,,HAWKINSVILLE,GA,31036,6,10,0%,60,21%,53,Achievement,7,98%,58,100%,47,Achievement,5,59%,702,58%,569,Achievement,7,11%,652,13%,397,Achievement,6%,10,10,10,79%,No reduction,12/19/2001,OTHER CHAIN(number of facilities <20 ),06/04/2010
DSI COVINGTON RENAL CENTER,112708,,,,4179 BAKER STREET,,COVINGTON,GA,30014,6,10,0%,67,6%,70,Achievement,10,100%,62,100%,61,Achievement,7,66%,739,50%,728,Achievement,10,2%,716,8%,513,Achievement,9%,10,10,10,97%,No reduction,12/21/2001,NATIONAL RENAL INSTITUTES,05/08/2007
DAVITA ELLIJAY DIALYSIS,112709,,,,449 INDUSTRIAL BOULEVARD #240,,ELLIJAY,GA,30540,6,10,0%,21,0%,15,Achievement,10,100%,21,75%,16,Achievement,8,70%,264,68%,186,Achievement,10,2%,232,1%,132,Achievement,9%,10,10,10,97%,No reduction,11/21/2001,DAVITA,03/11/2006
EAST GEORGIA REGIONAL DIALYSIS CENTER,112710,,,,450 GEORGIA AVENUE,SUITE A,STATESBORO,GA,30458,6,10,0%,35,3%,40,Achievement,1,94%,35,95%,38,Achievement,7,65%,383,56%,453,Achievement,10,1%,383,5%,332,Achievement,9%,10,10,10,70%,No reduction,01/28/2002,DAVITA,11/09/2007
IRIS CITY DIALYSIS,112711,,,,521 NORTH EXPRESSWAY,SUITE 1509,GRIFFIN,GA,30223,6,9,1%,69,0%,37,Achievement,8,99%,72,97%,38,Achievement,10,76%,698,75%,424,Achievement,10,5%,544,6%,302,Achievement,10%,10,10,10,91%,No reduction,02/04/2002,DAVITA,02/02/2002
"FRESENIUS MEDICAL CARE HONEYCREEK DIALYSIS, LLC",112712,,,,11415 BROWN BRIDGE ROAD,,COVINGTON,GA,30016,6,10,0%,31,4%,45,Achievement,10,100%,20,100%,34,Achievement,10,74%,238,66%,340,Achievement,9,7%,221,12%,228,Achievement,10%,10,10,10,100%,No reduction,04/10/2002,FRESENIUS MEDICAL CARE,01/11/2007
ARA SOUTH AUGUSTA CLINIC,112714,,,,1649 GORDON HIGHWAY,,AUGUSTA,GA,30906,6,10,0%,60,4%,74,Achievement,8,99%,67,100%,70,Achievement,1,47%,758,49%,843,Achievement,7,10%,733,12%,583,Achievement,4%,10,10,10,76%,No reduction,05/08/2002,AMERICAN RENAL ASSOCIATES,03/12/2002
EAST DEKALB DIALYSIS,112715,,,,"2853 CANDLER ROAD, SUITE 203",,DECATUR,GA,30034,6,10,0%,54,0%,53,Achievement,5,97%,59,93%,56,Achievement,3,55%,637,60%,648,Achievement,8,8%,602,9%,466,Achievement,6%,10,10,10,73%,No reduction,02/06/2002,DAVITA,12/03/2009
FMC WEST CHATHAM DIALYSIS CENTER,112716,,,,113 MINUS AVENUE,,GARDEN CITY,GA,31408,6,10,0%,40,0%,43,Achievement,10,100%,38,98%,46,Achievement,6,64%,440,57%,495,Achievement,9,6%,416,11%,344,Achievement,8%,10,10,10,94%,No reduction,05/22/2002,FRESENIUS MEDICAL CARE,01/29/2002
FMC DIALYSIS SERVICES OF WALTON,112718,,,,299 PLAZA DRIVE,,MONROE,GA,30655,6,10,0%,34,3%,34,Achievement,10,100%,33,100%,30,Achievement,1,41%,410,37%,320,Improvement,8,9%,369,6%,224,Achievement,5%,10,10,10,85%,No reduction,07/03/2002,FRESENIUS MEDICAL CARE,01/06/2007
DCA OF ROYSTON,112719,,,,611 COOK STREET,,ROYSTON,GA,30662,6,10,0%,45,9%,57,Achievement,10,100%,47,93%,55,Achievement,1,35%,537,30%,621,Improvement,6,12%,516,23%,435,Achievement,4%,10,10,10,82%,No reduction,04/15/2002,OTHER CHAIN(number of facilities <20 ),06/04/2010
FMC NEW BAILIE,112720,,,,1717 WALTON WAY,,AUGUSTA,GA,30904,6,10,0%,59,4%,71,Achievement,10,100%,59,97%,68,Achievement,3,55%,709,59%,758,Achievement,5,15%,672,9%,536,Achievement,4%,10,10,10,82%,No reduction,03/01/2002,FRESENIUS MEDICAL CARE,10/15/2010
FMC DIALYSIS SERVICES WOODSTOCK,112721,,,,110 LONDONDERRY COURT,SUITE 100,WOODSTOCK,GA,30188,6,10,0%,29,8%,25,Achievement,10,100%,31,100%,26,Achievement,3,54%,310,47%,233,Achievement,10,5%,278,10%,156,Achievement,7%,10,10,10,91%,No reduction,07/03/2002,FRESENIUS MEDICAL CARE,07/03/2002
ARA AUGUSTA LLC,112722,,,,1000 TELFAIR STREET,,AUGUSTA,GA,30901,6,10,0%,55,2%,62,Achievement,10,100%,60,100%,57,Achievement,2,50%,696,49%,679,Achievement,9,7%,676,13%,471,Achievement,6%,10,10,10,88%,No reduction,07/01/2002,AMERICAN RENAL ASSOCIATES,08/31/2007
VIDALIA FIRST STREET DIALYSIS,112723,,,,906 EAST FIRST STREET,,VIDALIA,GA,30474,6,10,0%,29,5%,22,Achievement,10,100%,34,91%,22,Achievement,5,59%,394,72%,233,Achievement,8,9%,382,4%,165,Achievement,7%,10,10,10,91%,No reduction,07/12/2002,DAVITA,02/11/2009
MONTEZUMA DIALYSIS,112724,,,,114 DEVAUGHN AVENUE,,MONTEZUMA,GA,31063,6,10,0%,38,0%,40,Achievement,10,100%,40,98%,42,Achievement,1,47%,488,43%,481,Achievement,8,8%,465,10%,346,Achievement,5%,10,10,10,85%,No reduction,07/19/2002,DAVITA,01/11/2007
WRIGHTSVILLE DIALYSIS,112725,,,,2240 WEST ELM STREET,,WRIGHTSVILLE,GA,31096,6,10,0%,20,17%,23,Achievement,10,100%,20,91%,22,Achievement,0,43%,234,43%,255,Achievement,10,5%,225,12%,180,Achievement,5%,10,10,10,85%,No reduction,08/14/2002,DAVITA,10/06/2005
MONTICELLO DIALYSIS CENTER,112726,,,,1393 FUNDERBURG DRIVE,,MONTICELLO,GA,31064,6,10,0%,20,8%,26,Achievement,10,100%,22,100%,25,Achievement,1,47%,246,51%,255,Achievement,6,12%,230,2%,177,Achievement,4%,10,10,10,82%,No reduction,08/27/2002,RENAL ADVANTAGE,09/02/2005
LORING HEIGHTS DIALYSIS,112727,,,,1575 NORTHSIDE DRIVE,"BUILDING 400, SUITE 405",ATLANTA,GA,30318,6,10,0%,26,5%,37,Achievement,10,100%,30,97%,36,Achievement,5,61%,323,48%,412,Achievement,8,8%,307,10%,294,Achievement,7%,10,10,10,91%,No reduction,09/20/2002,DAVITA,10/06/2005
FMC DIALYSIS SERVICES ELLIJAY,112728,,,,941 PROGRESS ROAD,Box 1,ELLIJAY,GA,30540,6,4,6%,18,5%,21,Achievement,10,100%,18,100%,20,Achievement,0,45%,202,51%,213,Achievement,5,14%,178,3%,154,Achievement,3%,10,10,10,61%,No reduction,11/26/2002,FRESENIUS MEDICAL CARE,01/17/2007
BAKERS FERRY DIALYSIS,112729,,,,3645 BAKERS FERRY ROAD,,ATLANTA,GA,30331,6,10,0%,54,0%,56,Achievement,7,98%,57,91%,55,Achievement,5,61%,553,54%,580,Achievement,9,7%,506,9%,401,Achievement,7%,10,10,10,82%,No reduction,11/19/2002,DAVITA,01/09/2007
NEWNAN DIALYSIS UNIT,112730,,,,101 WERZ INDUSTRIAL DRIVE,,NEWNAN,GA,30263,6,10,0%,63,4%,78,Achievement,7,98%,59,97%,63,Achievement,1,49%,707,45%,767,Achievement,5,14%,675,15%,546,Achievement,3%,10,10,10,70%,No reduction,03/07/1988,RENAL ADVANTAGE,11/06/2002
FMC OF FORT VALLEY,112732,,,,135 AVERA DRIVE,,FORT VALLEY,GA,31030,6,10,0%,34,4%,24,Achievement,10,100%,36,96%,26,Achievement,6,63%,394,54%,291,Achievement,8,9%,365,12%,201,Achievement,7%,10,10,10,91%,No reduction,03/07/2003,FRESENIUS MEDICAL CARE,01/10/2007
DCA OF ADEL,112733,,,,203 EAST ROBINSON STREET,,ADEL,GA,31620,6,10,0%,47,12%,57,Achievement,7,98%,51,96%,51,Achievement,9,71%,563,69%,627,Achievement,6,12%,541,16%,439,Achievement,8%,10,10,10,85%,No reduction,06/04/2003,OTHER CHAIN(number of facilities <20 ),06/04/2010
FMCNA DIALYSIS SERVICES OF CHATTAHOOCHEE VALLEY,112734,,,,2042 WYNNTON ROAD,,COLUMBUS,GA,31906,6,8,2%,42,9%,45,Achievement,5,97%,39,98%,44,Achievement,2,48%,466,38%,489,Improvement,2,20%,430,20%,349,Achievement,2%,10,10,10,55%,No reduction,06/17/2003,FRESENIUS MEDICAL CARE,04/17/2002
EISENHOWER PARKWAY DIALYSIS CENTER,112735,,,,2525 SECOND STREET,,MACON,GA,31206,6,10,0%,58,4%,73,Achievement,10,100%,70,99%,75,Achievement,0,42%,787,45%,849,Achievement,7,11%,757,17%,612,Achievement,4%,10,10,10,82%,No reduction,09/02/2003,RENAL ADVANTAGE,03/15/2007
OCONEE DIALYSIS CENTER,112736,,,,"1310 NORTH COLUMBIA STREET, SUITE C",,MILLEDGEVILLE,GA,31061,6,10,0%,56,2%,61,Achievement,10,100%,57,98%,59,Achievement,1,46%,655,46%,702,Achievement,4,16%,623,21%,495,Achievement,3%,10,10,10,79%,No reduction,09/03/2003,RENAL ADVANTAGE,07/24/2010
RENAL CARE GROUP SMYRNA,112737,,,,2700 HIGHLANDS PARKWAY SUITE A,,SMYRNA,GA,30082,6,10,0%,36,6%,34,Achievement,5,97%,31,100%,32,Achievement,8,68%,332,51%,359,Achievement,8,9%,310,20%,251,Achievement,8%,10,10,10,79%,No reduction,01/22/2004,RENAL CARE GROUP INC.,06/04/2008
FMCNA OF NORTH COBB,112738,,,,1392 BELLS FERRY ROAD,,MARIETTA,GA,30066,6,7,3%,61,6%,83,Achievement,10,100%,68,99%,84,Achievement,4,55%,674,42%,846,Improvement,7,10%,635,19%,580,Achievement,6%,10,10,10,79%,No reduction,02/04/2004,FRESENIUS MEDICAL CARE,11/11/2005
DAVITA GROVEPARK DIALYSIS CENTER,112741,,,,794 MCDONOUGH ROAD,SUITE 103,JACKSON,GA,30233,6,10,0%,37,0%,36,Achievement,10,100%,36,100%,36,Achievement,5,59%,400,56%,412,Achievement,10,2%,392,10%,290,Achievement,8%,10,10,0,91%,No reduction,05/28/2004,DAVITA,05/29/2004
WEST GEORGIA DIALYSIS,112742,,,,1216 STARK AVENUE,,COLUMBUS,GA,31906,6,10,0%,85,3%,73,Achievement,10,100%,63,92%,50,Achievement,5,61%,781,53%,611,Achievement,9,7%,735,9%,417,Achievement,7%,10,10,0,88%,No reduction,09/30/2004,DAVITA,03/10/2007
RCG LAKE LANIER,112743,,,,2565 THOMPSON BRIDGE ROAD,,GAINESVILLE,GA,30501,6,7,3%,40,10%,40,Achievement,10,100%,31,100%,26,Achievement,8,69%,367,54%,311,Achievement,9,6%,345,14%,221,Achievement,9%,10,10,10,88%,No reduction,12/22/2004,RENAL CARE GROUP INC.,11/06/2007
DIALYSIS FACILITY OF ALMA INC,112744,,,,415 SOUTH DIXON STREET,,ALMA,GA,31510,6,8,4%,24,33%,21,Improvement,0,90%,20,100%,21,Achievement,4,58%,238,63%,241,Achievement,10,1%,213,0%,173,Achievement,7%,10,10,10,55%,No reduction,01/19/2005,INDEPENDENT,01/14/2007
LAKE HEARN DIALYSIS,112745,,,,1150 LAKE HEARN DRIVE,SUITE 100 (Internal Mail Box # 25),ATLANTA,GA,30342,6,10,0%,45,2%,43,Achievement,4,96%,51,95%,40,Achievement,6,64%,530,67%,457,Achievement,9,6%,480,12%,313,Achievement,8%,10,10,10,76%,No reduction,02/02/2005,DAVITA,09/02/2010
DIALYSIS OF LITHONIA,112746,,,,2485 PARK CENTRAL BOULEVARD,,DECATUR,GA,30035,6,10,0%,77,2%,93,Achievement,10,100%,87,99%,92,Achievement,6,64%,940,61%,992,Achievement,9,7%,886,10%,674,Achievement,8%,10,10,10,94%,No reduction,03/16/2005,DAVITA,05/03/2007
RENAL CARE PARTNERS OF DUNWOODY,112747,,,,7840 ROSWELL ROAD BUILDING 3000 SUITE 310,,ATLANTA,GA,30350,6,9,1%,92,6%,90,Achievement,0,87%,15,100%,12,Achievement,0,38%,732,42%,594,Achievement,1,24%,642,14%,347,Achievement,1%,10,10,10,40%,1.0%,03/15/2005,OTHER CHAIN(number of facilities <20 ),01/20/2007
COMMUNITY DIALYSIS CENTER OF COLUMBUS LLC,112748,,,,1120 13TH STREET,,COLUMBUS,GA,31901,6,9,4%,24,55%,20,Improvement,10,100%,26,100%,21,Achievement,1,47%,297,41%,249,Achievement,6,13%,281,8%,176,Achievement,4%,0,10,0,72%,No reduction,03/30/2005,INDEPENDENT,07/02/2005
FRESENIUS MEDICAL CARE CARROL COUNTY,112749,,,,157 CLINIC AVENUE,SUITE 102,CARROLLTON,GA,30117,6,8,2%,83,2%,87,Achievement,5,97%,72,100%,74,Achievement,3,53%,819,53%,777,Achievement,9,6%,781,7%,538,Achievement,6%,10,10,10,67%,No reduction,04/21/2005,FRESENIUS MEDICAL CARE,02/02/2007
COLLEGE PARK DIALYSIS CENTER LLC,112750,,,,2545 SULLIVAN ROAD,,COLLEGE PARK,GA,30337,6,10,0%,32,2%,44,Achievement,10,100%,33,100%,39,Achievement,5,60%,357,64%,416,Achievement,8,8%,330,5%,296,Achievement,7%,10,10,10,91%,No reduction,06/29/2005,RENAL CARE GROUP INC.,06/14/2008
FRESENIUS MEDICAL CARE BREMAN,112751,,,,108 REDDING DRIVE,,BREMEN,GA,30110,6,10,0%,22,6%,34,Achievement,10,100%,24,97%,39,Achievement,10,75%,293,60%,420,Achievement,9,7%,281,7%,294,Achievement,10%,10,10,10,100%,No reduction,07/27/2005,FRESENIUS MEDICAL CARE,02/02/2007
HARBIN CLINIC DIALYSIS CENTER,112752,,,,172 THREE RIVERS DRIVE NORTHEAST,,ROME,GA,30161,6,9,1%,72,3%,80,Achievement,5,97%,63,96%,68,Achievement,7,67%,759,54%,786,Achievement,10,4%,699,8%,530,Achievement,9%,10,10,10,79%,No reduction,09/08/2005,INDEPENDENT,12/21/2005
"STOCKBRIDGE DIALYSIS CLINIC,LLC",112753,,,,3580 CAMERON PARKWAY,,STOCKBRIDGE,GA,30281,6,8,2%,56,14%,63,Achievement,10,100%,51,100%,52,Achievement,2,52%,557,54%,595,Achievement,9,6%,534,6%,410,Achievement,6%,0,10,0,75%,No reduction,09/21/2005,INDEPENDENT,01/24/2007
"NRA MIDTOWN MACON GEORGIA, LLC",112754,,,,657 HEMLOCK STREET SUITE 100,,MACON,GA,31201,6,10,0%,86,3%,99,Achievement,10,100%,75,100%,77,Achievement,2,52%,877,49%,859,Achievement,7,10%,844,14%,613,Achievement,5%,10,10,10,85%,No reduction,12/22/2005,RENAL ADVANTAGE,10/24/2006
"KIDNEY CARE GROUP, INC",112755,,,,3431 HIGHWAY 81 SOUTH,,LOGANVILLE,GA,30052,6,10,0%,32,22%,36,Achievement,5,97%,33,94%,34,Achievement,7,67%,380,49%,341,Achievement,10,0%,349,11%,234,Achievement,9%,10,10,0,79%,No reduction,12/02/2005,INDEPENDENT,04/19/2007
BARNESVILLE DIALYSIS,112757,,,,783 HIGHWAY 341 SOUTH,,BARNESVILLE,GA,30204,6,10,0%,18,0%,18,Achievement,10,100%,18,100%,18,Achievement,5,59%,197,62%,207,Achievement,7,11%,187,1%,140,Achievement,6%,0,10,10,85%,No reduction,01/03/2006,INDEPENDENT,01/07/2006
SUGARLOAF DIALYSIS,112758,,,,1705 BELLE MEADE COURT SUITE 110,,LAWRENCEVILLE,GA,30043,6,10,0%,57,7%,71,Achievement,10,100%,58,86%,57,Achievement,4,56%,612,55%,608,Achievement,9,7%,549,11%,418,Achievement,7%,10,10,10,91%,No reduction,12/19/2005,DAVITA,10/30/2007
RENAL CARE GROUP LITHONIA,112759,,,,2701 EVANS MILL ROAD,,LITHONIA,GA,30058,6,9,1%,68,6%,66,Achievement,7,98%,61,98%,66,Achievement,4,57%,681,57%,735,Achievement,8,9%,637,5%,512,Achievement,6%,10,10,10,76%,No reduction,12/21/2005,RENAL CARE GROUP INC.,12/22/2005
BUFORD DIALYSIS,112760,,,,1550 BUFORD HIGHWAY SUITE 1E,,BUFORD,GA,30518,6,10,0%,46,6%,49,Achievement,10,100%,39,95%,40,Achievement,3,54%,445,53%,500,Achievement,5,14%,413,9%,348,Achievement,4%,10,10,10,82%,No reduction,12/22/2005,DAVITA,08/09/2007
FMS LAWRENCEVILLE,112761,,,,1115 HERRINGTON ROAD,,LAWRENCEVILLE,GA,30044,6,9,1%,76,5%,75,Achievement,10,100%,63,100%,63,Achievement,9,73%,656,71%,696,Achievement,8,8%,639,9%,479,Achievement,9%,10,10,10,94%,No reduction,01/31/2006,FRESENIUS MEDICAL CARE,03/28/2009
RAI DEANS BRIDGE,112762,,,,2841 DEANS BRIDGE ROAD,,AUGUSTA,GA,30906,6,10,0%,64,5%,87,Achievement,5,97%,67,99%,76,Achievement,3,55%,834,52%,871,Achievement,9,6%,803,8%,613,Achievement,6%,10,10,10,73%,No reduction,02/07/2006,RENAL ADVANTAGE,01/27/2011
FMC CUMMING,112763,,,,1070 BUFORD HIGHWAY,,CUMMING,GA,30041,6,10,0%,18,0%,23,Achievement,2,95%,21,100%,22,Achievement,5,61%,218,60%,241,Achievement,6,12%,201,11%,169,Achievement,6%,10,10,10,64%,No reduction,03/15/2006,FRESENIUS MEDICAL CARE,12/15/2006
NORTHWEST GEORGIA RENAL CENTER,112765,,,,260 HOSPITAL ROAD,,CANTON,GA,30114,6,8,2%,61,4%,52,Achievement,10,100%,52,96%,46,Achievement,7,66%,612,53%,509,Achievement,10,3%,565,12%,351,Achievement,9%,10,10,10,91%,No reduction,04/05/2006,DAVITA,10/02/2011
FMC BULLOCH COUNTY,112766,,,,1355 BRAMPTON AVENUE,,STATESBORO,GA,30458,6,10,0%,38,0%,39,Achievement,10,100%,32,100%,34,Achievement,7,66%,359,55%,384,Achievement,7,10%,343,9%,277,Achievement,7%,10,10,10,91%,No reduction,04/05/2006,FRESENIUS MEDICAL CARE,07/21/2007
FMC DIALYSIS SERVICES OF HOUSTON COUNTY,112767,,,,816 DUKE AVENUE,,WARNER ROBINS,GA,31093,6,10,0%,19,5%,19,Achievement,10,100%,20,100%,18,Achievement,10,75%,233,75%,209,Achievement,10,0%,221,1%,152,Achievement,10%,10,10,10,100%,No reduction,05/17/2006,FRESENIUS MEDICAL CARE,01/06/2007
FMS TOOMBS COUNTY DIALYSIS,112768,,,,105 MELVIN PAGE DRIVE,,VIDALIA,GA,30474,6,10,0%,33,9%,33,Achievement,4,96%,25,100%,26,Achievement,8,70%,332,68%,310,Achievement,9,7%,283,18%,220,Achievement,9%,10,10,0,76%,No reduction,07/14/2006,FRESENIUS MEDICAL CARE,01/07/2007
HOGANSVILLE DIALYSIS CLINIC,112769,,,,1002 WILLIAMS STREET,,HOGANSVILLE,GA,30230,6,10,0%,24,0%,38,Achievement,10,100%,35,93%,40,Achievement,6,63%,380,60%,450,Achievement,6,12%,376,15%,320,Achievement,6%,10,10,10,88%,No reduction,07/19/2006,RENAL ADVANTAGE,11/04/2009
DCA OF CALHOUN,112770,,,,105 PROFESSIONAL PLACE,,CALHOUN,GA,30701,6,10,0%,37,3%,36,Achievement,5,97%,37,97%,38,Achievement,8,70%,439,55%,434,Achievement,10,4%,406,9%,301,Achievement,9%,10,10,10,82%,No reduction,07/28/2006,INDEPENDENT,06/04/2010
